date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:28	20/20	---MCZ	200	added ('OK')	text/plain	date:Fri,%2008%20Nov%202024%2009:30:48%20GMT	https://digiporto.webflow.io/robots.txt		(from )
16:38:29	43129/43129	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2014:53:22%20GMT	https://digiporto.webflow.io/	E:/Template/Portfolio%20Animated/digiporto.webflow.io/index.html	(from )
16:38:29	78034/78034	---M-Z	200	added ('OK')	text/css	etag:%22bd873fb72a2dc02fd6081152f1fc3cf7%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/css/digiporto.webflow.cd137104e.css	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/css/digiporto.webflow.cd137104e.css	(from https://digiporto.webflow.io/)
16:38:29	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/Template/Portfolio%20Animated/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://digiporto.webflow.io/)
16:38:30	1330/1330	---M--	200	added ('OK')	image/png	etag:%22aabe15c9d5bb05a1c245c5ec8e576cfe%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/67226a8d2bb1e596aefd5def_Favicon.png	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/67226a8d2bb1e596aefd5def_Favicon.png	(from https://digiporto.webflow.io/)
16:38:30	4481/4481	---M--	200	added ('OK')	image/png	etag:%2242836d4cf78ace2838a8b60b4d1e1e34%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/67226a92490827bb52151376_Webclip.png	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/67226a92490827bb52151376_Webclip.png	(from https://digiporto.webflow.io/)
16:38:31	72650/72650	---M--	200	added ('OK')	image/jpeg	etag:%227f3d98a5e1c5128dbf9014f0e9564ce0%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/6717496efabaf858d428882f_tirza-van-dijk-o1SKqmgSDbg-unsplash.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/6717496efabaf858d428882f_tirza-van-dijk-o1SKqmgSDbg-unsplash.jpg	(from https://digiporto.webflow.io/)
16:38:32	126349/126349	---M--	200	added ('OK')	image/jpeg	etag:%22e8bdab27a1767909464915d17d27ce9d%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/671748c9755e7bf5286d3b73_andy-brown-cVLHo7nJumQ-unsplash.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/671748c9755e7bf5286d3b73_andy-brown-cVLHo7nJumQ-unsplash.jpg	(from https://digiporto.webflow.io/)
16:38:32	82059/82059	---M--	200	added ('OK')	image/jpeg	etag:%2266d87070bee3d9a39c3d1252eed47559%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/671748c9421922d20f2409b1_firosnv-photography-Z2c6ounF-iE-unsplash.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/671748c9421922d20f2409b1_firosnv-photography-Z2c6ounF-iE-unsplash.jpg	(from https://digiporto.webflow.io/)
16:38:32	52394/52394	---M--	200	added ('OK')	image/jpeg	etag:%22a3e9401b50d8b53d2572d1da7f738466%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/671748c86379aa35d2923735_ux-indonesia-1V5zGGTYXVc-unsplash.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/671748c86379aa35d2923735_ux-indonesia-1V5zGGTYXVc-unsplash.jpg	(from https://digiporto.webflow.io/)
